|artist|categoryId|country|description|dimensions|image|name|price|stock
|Jeroen Molenaar|4|Netherlands|Wall sculpture. Wood construction, staples and glue.|32.5 W x 33.5 H x 0.7 D in|1598631-HSC00002-7.jpg|Shelter. Sculpture|2370|1
|Frans Muhren|4|Netherlands|Painted wood (Dibetou)|11.8 W x 39.4 H x 39.4 D in|652688-HSC00001-7.jpg|Polarbear incognito Sculpture|7550|2
|Cristina Figarola|4|Spain|This work called Woman 1 belongs to the series Characters, and represents a female figure through ceramic pieces with a great symbolic charge, such as the jug.  I see the jugs as a symbol of the female body.  The jug of water, generous, sharing and giving her life to the family. Pitchers that I decided not to put a handle on. That no one would force them to serve....Free jugs, free women....Who give of their own free will.|15.7 W x 78.7 H x 15.7 D in|9539193-NONIWACT-7.jpg|Woman 1 Sculpture|4985|1
|Eduardo Bessa|4|Portugal|Oh My Love   Shipped in Crate Ready to hang Signed and dated on back|27.6 W x 27.6 H x 3.1 D in|6037577-HSC00001-7.jpg|Oh My Love Sculpture|2460|2
|Frans Muhren|4|Netherlands|An abstract human figure placed in a kind of cocoon connected with two balloons floating in the air. Among other things I was inspired by David Bowie's Space Oddity.|27.6 W x 37 H x 11.8 D in|2928775-HSC00001-7.jpg|Balloon Flight Sculpture|5050|3
|Frans Muhren|4|Netherlands|Poured polyester with two led lights from beneath|7.9 W x 7.9 H x 25.6 D in|648770-QXJBRAOC-7.jpg|Mars and Minerva Sculpture|5550|5
|Sumit Mehndiratta|4|India|5 layers of thick acrylic sheets mounted on top of each with a gap of 1.5 cms between each panel forming a pyramid like structure popping out from an open white wooden floating frame, ready to hang. Artwork shipped framed and ready to hang safely secured in a wooden crate with Certificate of authenticity.|45 W x 45 H x 4.5 D in|7924429-XKJDICLG-7.jpg|Wall hanging Optical construction 2 Sculpture|2070|3
|Ian Turnock|4|United Kingdom|Inspired by the Hawthorn tree in early Spring. Powder-coated in silk white steel sculpture with welded fixings on reverse|26 W x 26 H x 0.5 D in|7904387-HSC00923-7.jpg|Awakening Sculpture - Limited Edition of 5|1530|1
|Sebastian Welzel|4|Germany|GIS-1 TOPOGRAPHIE yellow rectangle Limited Edition 3 of 20, signed Berlin 2018  The GIS-1 TOPOGRAPHIE, dedicated to minimalism, is an elegant and timeless design object. With its combination of threedimensionality and colour it will set new architectural and artistic standards in your interior design. The simple rotation of several tetrahedrons renders this design especially striking. Two large superimposed triangles form a rhombus. The upper and lower half of the GIS-1 TOPOGRAPHIE form two identically mirrored halves. Looked at from the right, it equals the reflected left side. This wall sculpture is dominated by subtle changes while the beholder walks past it. The colours – grey-beige, light yellow, white and lemon – are bright and pleasantly warm. This wall sculpture is suitable for a bright as well as a dark background and universally compatible with different styles of interior design. Its shape matches sofas, sideboards and tables in living areas as well as in the workspace. The rectangle consists of 864 triangles that are put together by hand – making each piece unique.  Material & Manufacturing: laminated cardboard with a high lightfastness on a thin support plate made from wood; handmade combined with modern laser technology, exclusively “made in Berlin”; solid workmanship despite light materials  Measurements: 98 cm x 84 cm x 3 cm (width x height x depth)  Weight: 3 kg|38.6 W x 33.1 H x 1.2 D in|7673065-BOGZUDPW-7.jpg|GIS-1 – Limited Edition 3 of 20 Sculpture|1878|2
|Manuel Izquierdo|4|Spain|My creative work focuses on an abstract language of three-dimensional mobile geometric shapes and gives rise to being able to combine with each other inside the support, sometimes they can also be placed outside the support, since the mobile geometric shapes are attached to the support by magnets. This work being three-dimensional I name interactive wall sculpture.  THE POSITIONS OF THE MOBILE  The possibility of the moving parts that compose the work offers me the discovery of other positions. I find it interesting that an open work can show all the possibilities of interesting positions that I can find. The record of each position is kept in photos, drawings, video, etc. Generating thus a compilation of all the positions that belong to the work. The one who owns it can try under its responsibility to discover new positions. That you can change the position does not mean that it moves and changes at random, but it requires a previous effort of imaginative reflection of how the new posture can work.  Signed in the back. hanging hardware is included.|12.2 W x 9.8 H x 1.9 D in|7581317-XMUJTLXL-7.jpg|Interactive mobile 0223 Position A Sculpture|1210|3
|Chad Schonten|4|Netherlands|White relief, painted paper mache on a plain canvas base, captured in a white wooden frame.  The organic composition is made of strips of paper mache, fixed on canvas using paper mache pulp, finished by white paint.  The work is framed and equipped with hanging hardware (sawtooth).|13 W x 20.9 H x 5.9 D in|6434901-HSC00001-7.jpg|Untitled 4-2020 Sculpture|450|3
|Soonyong hong|4|South Korea|The world is in balance. Everything is centered and there is movement to keep it. If there is something beneficial, there is harmful. If there is something to get, there is something to lose. If there is something strong, there is something weak. But we are trying to live a life that is constantly out of balance. The desire for money and power, the worries about the future, the disappointment about the past, the conflict with others, the stress of work. We are obsessed with many objects and live a biased life.  It forms the time of purification necessary for the life of modern people. The work of visualizing the purity existing in the inner figure in the shape of animals. The work of expressing the figure of human in the form of purification. The work of painting the time to balance. I find the meaning of balance from various objects and create the time to be purified. I hope to create a space for happiness, satisfaction, beauty, and excitement in life. Therefore, I ask what direction we are going to be and we will be for.|14.6 W x 23.6 H x 1.6 D in|5639653-HSC00001-7.jpg|The flow for balance Sculpture|1660|5
|Philip Hearsey|4|United States|The two faces of the sculpture are very different but easy rotation on the base allows either face or any angle to be chosen. It is non-figurative [not entirely abstract] and came about from experiences in the Camel Estuary in Cornwall, England.|9.1 W x 14.6 H x 5.1 D in|5245255-HSC00002-7.jpg|A Day Gone By Sculpture|2175|5
|Nico Kok|4|Netherlands|Cubes of polystyrene become smaller and smaller. From 10 in a row to 9 in a row to 8 in a row, etc. Themes of Nico Kok such as square, cube and the use of materials are reflected in this work. The work is signed at the back.|37.8 W x 37.8 H x 3.7 D in|4455955-ROFIUAKW-7.jpg|Cubes and cubes Sculpture|4450|1
|Frans Muhren|4|Netherlands|Human silhouettes carved in iron on a wheelboat|15.7 W x 15.7 H x 4.7 D in|772715-HSC00001-7.jpg|Silhouettes Sculpture|3020|2
|Zeljka Paic|4|Bosnia and Herzegovina|“Zeljka Paic has created art that has broken free of its boundaries. While the frames are not discarded, they are re-arranged, opened up or rendered porous so as to unchain the art within and allow it to seep, swirl, crawl or strike out beyond its customary limitations and venture beyond into some other place. What place is this? That we do not know is what makes it so alluring, so daring, so dangerous. The magic lies in the mystery. Paic is not so much exploring as allowing for the possibility of exploration. By removing the constraints, she wants to free both the art and the viewer to dare to sally forth into realms as yet uncharted. Even the names invoke the primal impulses to discovery”. David J.K. Carr The wall sculpture ‘Victory’ was made of acrylic on canvas pressed on the MDF board, and the pieces of the frame.  The artwork is signed on the back and comes with a certificate of authenticity.|28.3 W x 43.3 H x 3.7 D in|9239431-OZCZKNWE-7.jpg|Victory Sculpture|3690|4
|Francesca Dalla Benetta|4|Mexico|This piece is inspired by fire (fuochi means fires in italian: the little heads remind of flames, and the colors are du to the heat of the flame during the patina process. It was very emotional to realize...  This piece is part of a serie of 6, and the patina (colors) can vary a little from piece to piece (I always try to make them the most similar, but part of the beauty of patinas is exactly their uniqueness).  The sculpture dimensions include the pedestal size.|15.7 W x 2.4 H x 8.7 D in|7694563-AEQJIDWX-7.jpg|Fuochi Sculpture|2866|3
|Sassoon Kosian|4|United States|"Beautiful wall hanging sculpture for your home or office. Made with wood and painted with latex paint. Colors evoke positive and pleasant energy. The sculpture is ready to hang and is lightweight. Hangs like a painting. 39"" x 26"" x 4"""|26 W x 39 H x 4 D in|7226798-WGBBUDBX-7.jpg|Dream 3 Sculpture|4010|6
|Soonyong hong|4|South Korea|The world is in balance. Everything is centered and there is movement to keep it. If there is something beneficial, there is harmful. If there is something to get, there is something to lose. If there is something strong, there is something weak. But we are trying to live a life that is constantly out of balance. The desire for money and power, the worries about the future, the disappointment about the past, the conflict with others, the stress of work. We are obsessed with many objects and live a biased life.  I form the time of purification necessary for the life of modern people. Through the work visualized the purity that exists inside the human into a clean world and the work symbolized by the form of animals, I hope to create a spaace to find happiness, satisfaction, beauty and excitement in life. And I ask what direction we will go for.|7.9 W x 15.7 H x 1.6 D in|6806099-HMFHUADM-7.jpg|The flow for balance Sculpture|690|2
|Anna Sidi-Yacoub|4|Ireland|"Color; Hand formed Golden flowers on red acrylic.  Fed up with flat shapes and paintings? This is a 3 Dimensional Sculpture with a Wow factor for Office or Home. The Artwork is Unique with individual hand formed flowers. It's light and bright, highly reflecting surrounding objects. The surface of the sculpture is moving along the viewer's eye. It will illuminate each room. Will be sent well protected in a wooden crate. The artwork is supplied with 4 brass J-hooks to drill into the wall. 2 on bottom, and 2 in the middle opposite sides.  Dimension; 100 cm x 100 cm x 4 cm / 39"" x 39"" x 2""."|39.4 W x 39.4 H x 1.6 D in|6560899-HSC00002-7.jpg|Golden flowers Sculpture|1560|1
|Karolina Maszkiewicz|4|United States|Largely inspired by desert landscapes and modern architecture with stark outlines and a clean color pallet. The veneer's outline and wood grains give the illusion of movement in the same way various canyon rock walls do having been carved out by long periods of moving water. The use of the natural elements,  stone, and wood, also helps to project the feeling of being surrounded by and connected to, nature. Combining elements in this seemingly gravity-defying way expresses the symbiotic relationship between species, not so dissimilar to how coral provides an anchor for other organisms to flourish. The composition is meant to connect the viewer to nature’s ferocity and ancient mystery, and to mimic our own small but powerful place in this world.|26 W x 26 H x 18 D in|8155679-CUWRHYDY-7.jpg|Over the River Sculpture|2710|4
|Scott Troxel|4|United States|Citrus is a discreet and elegant minimalist, monochromatic contemporary wall sculpture. It is constructed with birch panels, acrylic washes and completed with a semi-gloss lacquer distressed finish. The acrylic wash allows the wood grain to show through the paint and creates an almost marble-like appearance as the warm brown wood grain shows through the gradient white tones. Citrus is a piece that focuses on the composition, balance, and form by using a limited monochrome color palette. The piece diffuses multiple opacities of white creating a contemplative state or alluding to an upbeat fresh and sophisticated modern vibe.  The bold yellow green background and lime focal point complete the piece.|23 W x 24 H x 1 D in|5822759-HSC00001-7.jpg|Citrus Sculpture|2910|3
|Benoist Van Borren|4|France|100% concrete high performance 3kg Limited edition|3.9 W x 6.3 H x 3.9 D in|2136923-HSC00002-7.jpg|BF-10-3/4 Sculpture|1110|3
|Manuel Izquierdo|4|Spain|Materials: Acrylic, wood, magnet, galvanized iron.  Signed in the back. hanging hardware is included.  My creative work focuses on an abstract language of three-dimensional mobile geometric shapes and gives rise to being able to combine with each other inside the support, sometimes they can also be placed outside the support, since the mobile geometric shapes are attached to the support by magnets. This work being three-dimensional I name interactive wall sculpture.  THE POSITIONS OF THE MOBILE  The possibility of the moving parts that compose the work offers me the discovery of other positions. I find it interesting that an open work can show all the possibilities of interesting positions that I can find. The record of each position is kept in photos, drawings, video, etc. Generating thus a compilation of all the positions that belong to the work. The one who owns it can try under its responsibility to discover new positions. That you can change the position does not mean that it moves and changes at random, but it requires a previous effort of imaginative reflection of how the new posture can work.|63 W x 39.4 H x 2 D in|1111624-HSC00001-7.jpg|INTERACTIVE MOBILE 0015 position A Sculpture|4130|2
|Nazar Symotiuk|4|Ukraine|"""Independence"" appeals to the symbols of the nation, which are encoded in an ornamental multicolor. The complex code of spiritual identification is presented by the author clearly, succinctly and as balanced as possible. What is the price of freedom? The war in Ukraine is a litmus test for the entire democratic world. Such a desired victory is perceived as a light in the midst of darkness, but its other side is bloody. In turn, the chosen correct shape of the square acquires a symbolic meaning."|36 W x 38 H x 2 D in|9777431-YBUVLASV-7.jpg|Intrusion 39 Sculpture|2950|1
|Eleni Pappa Tsantilis|4|France|"Clay fired twice. I suggest this two pieces work to have it together with ""Astonished II""  but each piece it is sold separately.  It comes signed, with a certificate of authenticity."|7.5 W x 9.4 H x 3.5 D in|9638885-TNJQIZDV-7.jpg|Astonished I Sculpture|490|2
|Virginia Garcia Costa|4|Switzerland|"My work ""La lluvia y el lago"" is inspired by the soft pattering of raindrops on the surface of a lake. The different perspectives and the three dimensionality of the golden pieces give a sense of warm harmony and modern aesthetics.  The Dorada, Cobre, Roble and Carbon Series belong to the same family of three dimensional works. My wall sculptures have been shortlisted for the international Rise Art Prize 2018 in London, UK.  My work is carefully finished with a museum quality UV protection varnish, signed on the back and ready to hang. All my works are sent with a Certificate of Authenticity and hand written thank you card."|22.4 W x 22.4 H x 2.2 D in|9232273-OQFNHRSN-7.jpg|La lluvia y el lago Sculpture|1910|3
|Francesca Dalla Benetta|4|Mexico|La tuffatrice (means the diver in Italian) is a strong woman.  She knows her power and she is ready to take the risk to dive into live with passion and sense of adventure.  It is a serie of 6 pieces. The patina may vary from 1 piece to another a little, and this is the beauty of bronze!  The sculpture dimensions include the base size.|13.4 W x 16.5 H x 4.3 D in|9115069-GMIJVCNX-7.jpg|LA TUFFATRICE Sculpture|3295|5
|Cristina Figarola|4|Spain|Totems with compositions based on piled up ceramic pieces from the area of utility ceramics. ​ Bowls, vases and plates that, when put out of context, turn into abstract geometric figures. - Once formed on the potter’s wheel, they are deformed and drilled in order to line them up on an iron tube, creating vertical shapes|15.7 W x 61 H x 15.7 D in|7274875-XVSUJPPV-7.jpg|Geometric Totem nº 14 Sculpture|4950|3
|Olga Skorokhod|4|United States|Olga's artwork is a stunning exploration of color and shape that showcases a strong rhythmic connection between space and form. The artwork is composed of rectangles arranged in a chaotic order, with each rectangle connected to the surface at different angles. The white surface of the artwork adapts to its environment and reflects the colors of the vividly colored sides of the rectangles. This creates a beautiful gradient of soft pastel colors that mix together and create a calming color palette. Viewed from the opposite side, the artwork presents a bold and bright color composition that can evoke powerful emotions. These colors stand out from their surroundings and grab the viewer's attention. Olga's use of color and shape in this abstract series is truly remarkable. The playfulness and experimentation with composition is evident, and the result is a sophisticated and visually stunning artwork that balances the excitement of bold colors with the calming effect of pastel gradients.|18 W x 24 H x 1.5 D in|9310023-RVHMYBQP-7.jpg|Colorful Rain - 05 Sculpture|1970|1
|Nico Kok|4|Netherlands|One cube of two identical cubes of black granite (Indian Black) is split several times and then processed and put back together. The other cube is not split but processed. Finally, the split cube is placed on top of the other cube. The work is signed on the bottom.|3.9 W x 3.9 H x 7.9 D in|8965015-FTDYPGZN-7.jpg|Double cube 6 Sculpture|2220|2
|Francesca Dalla Benetta|4|Mexico|Venado is a small bronze bust of a woman with a deer mask or hat.  This is a special tribute to the sacred deer of Huichol culture in Mexico. This is a prehispanic culture that survived along the conquest, and keep alive their traditions, especially their connection to the earth, to nature and to the ancient myths. The combination of a Deer mask on a woman body talks about the misterious of life, and our deep connection to this beautiful planet.  This piece is part of a special collection Francesca Dalla Benetta started in 2018, called Customs and Identities, and it is a reflection about how many costumes we wear in front of people, the society, family and so on. We have roles that are different for each person we meet in life, so we try to adapt and respond to that particular role. Sometime we align, sometimes we react. That’s how we build our personality.  This piece has a black and white patina.|4.7 W x 11.8 H x 4.7 D in|8619583-HPTAAKPB-7.jpg|VENADO Sculpture - Limited Edition of 8|1717|3
|Maru Jensen|4|United States|the work was inspired by motherhood, a woman's  workload and the emotional togetherness it takes to bear it all. I chose ceramic because is a maleable material that allows me to represent my 3 dimensional ideas with preciseness|24 W x 17.5 H x 11 D in|8127651-CSMKZUGF-7.jpg|the glue that sticks us all together Sculpture|1070|3
|Sumit Mehndiratta|4|India|5 layers of acrylic sheets mounted on top of each with a gap of 1.5 cms between each panel forming a pyramid like structure popping out in an open white wooden frame, ready to hang. Artwork shipped framed and ready to hang safely secured in a wooden crate with Certificate of authenticity.|45 W x 45 H x 4.3 D in|7919147-WYJHTCYP-7.jpg|Optical construction 2/4 Sculpture - Limited Edition of 5|2270|5
|Dmytro Shavala|4|Ukraine|I was inspired by a simplicity of geometric shapes and their combinations. Looking at this artwork from different angles is very interesting Made in natural wood. Which is light weighted to hang it on the wall easily. Covered by a strong acrylic protection layer to make it durable and easy to clean.|39.4 W x 39.4 H x 1.6 D in|7556161-HSC00001-7.jpg|Cold pressure Sculpture - Limited Edition of 5|3000|1
|Michele Rizzi|4|Italy|"""Athena and Starman"" it is part of a cycle of sculptures called ""metallic landscapes"". This cycle of sculptures are characterized by a series of characteristics: They are sculptures made on thick metal panels to be positioned preferably on the wall. They are characterized by metal panels with surfaces corroded by time and by aggressive substances, subsequently working with abrasive tools in a sort of descialbo. In fact the surface is left intact or the various layers of paint or rust are eliminated depending on the pictorial effect to be achieved. Once I arrived at abstraction or abstract metallic landscape I was influenced by it in the choice of the figures to be inserted in the context and the technical methods to be implemented. In this case a beautiful paper representation of Athena was inserted which was subsequently painted, impregnated with colored shades, fragmented and worn in order to give the impression of historical ruin / archaeological find and finally protected and treated with transparent varnishes that block over time the effect obtained. In the opposite upper corner there is an idea of ​​a portrait of Starman obtained with elements of stainless steel which is in clear contrast with Athena and finally there is a couple of embraced figures intent on scrutinizing the space into infinity. The latter emerged from the descialbo work and highlighted / finished by means of abrasive wheels. The entire work was finally protected with a transparent gloss that stops the current state of corrosion of the work over time. A very suggestive and iridescent work according to the angle of view. With each movement of the observer, the details that reach the eye change. I would call it poetic and cosmic"|47.2 W x 52 H x 1.2 D in|7316035-OYMMHWGV-7.jpg|&quot;Athena and Starman&quot; Sculpture|8910|2
|Manuel Izquierdo|4|Spain|Materials: Acrylic, wood, magnet, galvanized iron.  Signed in the back. hanging hardware is included.  My creative work focuses on an abstract language of three-dimensional mobile geometric shapes and gives rise to being able to combine with each other inside the support, sometimes they can also be placed outside the support, since the mobile geometric shapes are attached to the support by magnets. This work being three-dimensional I name interactive wall sculpture.  THE POSITIONS OF THE MOBILE  The possibility of the moving parts that compose the work offers me the discovery of other positions. I find it interesting that an open work can show all the possibilities of interesting positions that I can find. The record of each position is kept in photos, drawings, video, etc. Generating thus a compilation of all the positions that belong to the work. The one who owns it can try under its responsibility to discover new positions. That you can change the position does not mean that it moves and changes at random, but it requires a previous effort of imaginative reflection of how the new posture can work.|19.7 W x 24.4 H x 1.2 D in|1111584-ERNFILPS-7.jpg|INTERACTIVE MOBILE 0178, position A Sculpture|2110|4
|Paul Stein|4|South Africa|This work has strong figurative elements, and is an  example of how simple elements can suggest the human form. There is something elemental about this sculpture, suggesting the eternal need for human bonding. Made in 4mm steel and coated with durable  glossy auto-lacquer, the yellow is a rich in colour, almost yolk like.  The sculpture sits atop  a  60 mm mdf  base, painted matt black. Edition 1/9|15.7 W x 28.7 H x 10.2 D in|8248221-MLQEQPFW-7.jpg|Repose Sculpture - Limited Edition of 9|2975|3
|Beverly Morrison|4|United States|This Shiro was sculpted in a stoneware porcelain mix. As sleek as she looks, there are surprises and imperfections. She developed a crack on the lip during firing that I have filled and she holds with in her clay crumbles as a reminder of her birth.  Details: Stoneware/Porcelain Mix; Cone 04 Oxidation Firing|10 W x 19 H x 8 D in|7733818-HSC00002-7.jpg|Shiro III - Ceramic Sculpture - Abstract Minimalism Sculpture|4550|6
|GARDANI ART|4|United States|One-of-a-kind Pop Art Original Swarovski Sculpture by Gardani available for you. Comes with official Gardani Certificate of Authenticity with a unique dollar bill sequence as a registration matching number of that Artwork/sale.  Details  Medium: Mix media, Hand casting fiberglass  Size: 13 x 9 x 4 in. (33 x 23 x 10 cm.)  Artwork: Approximately 22,500 Genuine Swarovski Crystals.  Condition: Excellent. Mint.  Movement &amp; Style: Pop Art, Contemporary Art.  Artwork: Shipping in a professional box within 7-10 business days.|9 W x 13 H x 4 D in|7122952-HSC00923-7.jpg|Hope Whaam – Original Swarovski Sculpture Sculpture|10100|2
|Mary Jo McGonagle|4|United States|This neon piece is hand blown glass in PURPLE. It is mounted on contoured, clear plexiglas with pre drilled holes for hanging, and comes ready to hang. This piece is offered in the following colors: White, ruby red, coral pink, violet, turquoise, emerald green, promo blue and light blue. Custom commission is also available. My neon, decorative paintings and installations use contemporary phrases, which reflect the thoughts we all share. My art reflects my fascination with how our relationships take place in our everyday life, hovering between humor and desperation. My work has been described as contemporary multidisciplinary with a conceptual twist. This piece is part of the edition of 8.|33 W x 9 H x 3 D in|5986595-HSC00002-7.jpg|Life is Beautiful Sculpture|3200|1
|Dusan Rakic|4|Serbia|Marquetry work|10.6 W x 14.6 H x 0.5 D in|1744380-HSC00001-7.jpg|Grape - In honor of the god Dionysus Sculpture|710|4
|Manuel Izquierdo|4|Spain|Materials: Acrylic, wood, magnet, galvanized iron.  Signed in the back. hanging hardware is included.  My creative work focuses on an abstract language of three-dimensional mobile geometric shapes and gives rise to being able to combine with each other inside the support, sometimes they can also be placed outside the support, since the mobile geometric shapes are attached to the support by magnets. This work being three-dimensional I name interactive wall sculpture.  THE POSITIONS OF THE MOBILE  The possibility of the moving parts that compose the work offers me the discovery of other positions. I find it interesting that an open work can show all the possibilities of interesting positions that I can find. The record of each position is kept in photos, drawings, video, etc. Generating thus a compilation of all the positions that belong to the work. The one who owns it can try under its responsibility to discover new positions. That you can change the position does not mean that it moves and changes at random, but it requires a previous effort of imaginative reflection of how the new posture can work.|39.4 W x 13.8 H x 1.6 D in|1084843-HSC00001-7.jpg|INTERACTIVE MOBILE 0185, position A Sculpture|2310|2
|Nazar Symotiuk|4|Ukraine|The artwork is executed in the style of abstract . Looking at it from different sides can be felt the secret that lies in it.I can make this same artwork in a different size.|52 W x 51.2 H x 2 D in|9043027-JQMGSQDY-7.jpg|Towards Sculpture|3150|1
|Ryan Coleman|4|United States|"Laser cut mirrored acrylic wall sculpture. Floats approximately .5"" off of the wall, hung with a French Cleat.  47.5""H x 32""W x .5D""  This wall sculpture is based on the scribbles and quick gestures I use in my work, inspired by classic cartoons and Abstract Expressionist painting.  Ships in a custom made wood crate, with laser cut soft foam to ensure safe shipment."|32 W x 47.5 H x 0.5 D in|7968819-PXKNTNDJ-7.jpg|Vertical Scribble Mirror Wall Sculpture, Orange Sculpture|5150|2
|Aby Mackie|4|Spain|The work is created from the deconstruction and re-contextualising of domestic textiles and fabrics sourced from the local market here in Barcelona. The fabrics are dismantled and almost destroyed before being re-imagined and built up methodically through cutting and stitching. It feels like there is magic in the salvation of these fabrics.  Dimensions vary slightly due to the construction method of the artwork.  IMPORTANT: This work has NOT been stretched and does NOT come with a frame, it is intended to be hung directly upon the wall. If you would like to buy the work stretched and/ or stretched and framed please contact me before purchasing.  I am captivated by the unobvious silent material witnesses to a life lived; a worn bed sheet, a stained tablecloth, a moth-eaten gown. Such artefacts bare the marks and physicality of human nature, possessing a poetic power. They are simultaneously valuable in their uniqueness and worthless in their deteriorated, decontextualized state. Each piece created from these objects is therefore both my own personal expression of the hidden memories embedded in the original items, and a way to explore the recycling and re-contextualising of meaning and value in contemporary society. The experience and memories of others, imagined and real, fuse seamlessly with my own through the salvation, destruction and discordant juxtaposition of materials.|22 W x 42 H x 1.5 D in|7693705-HSC00001-7.jpg|Between Chaos &amp; Order 2 Sculpture|1310|3
|Susan Freda|4|United States|"Gold woven wire dress with multicolored metal powders and multimedia accents.  Multimedia accents include fuschia wire chain accents, multicolored metal powders including gold, aqua, fuschia, blues, green, copper and rose gold. Fiber flowers painted and textured with seed beads, hanging aqua briolette drop gemstone accents. Clear and blue speckled fused glass adorn this piece, as well as gold leafed glass on bust and hem. Copper formed flowers and purple amethyst gem flower at dress hem. Clear glittered glass at hem and hip.  Floating and motion are the themes of this dress, and inform the title ""colorful gold cloud"". Can be against a wall, and is best hanging from a display hook on the wall or ceiling to allow for motion.    Dimensions: 51"" H total (25"" H dress), 24"" W, 12"" D."|24 W x 47 H x 12 D in|6882670-HSC00001-7.jpg|Laetus Aurum Nubes (Colorful Gold Cloud) Sculpture|2850|5
|Maria Bouquet|4|United States|The En-Lighten project consists of a series of paintings and light installations conceived as an exercise of reflection on light within myself and upon the viewer. Ancient cultures from different latitudes recognized and singled out geometrical forms present in nature that were constant. This appears in Pre Columbian cultures such as the Mexica, the Chavín and the Quechua, from which I draw the inspiration to create pictorial works and mathematical configurations through the use of light looms. The hexagons that give shape to the cells in a honeycomb, the spirals of a shell and infinite series of circles that make up for a flower create the luminous landscapes, the fields of color and define the shape of the light in my work. Modern science encodes a finding in the discovery of the golden number, letter or proportion: Thau, Phi, 1,6180339887498948…thus until dematerializing into mathematical forms and symbols with which the universe as we know it is constructed. It has been observed that the molecular forms that constitute the pilar of life sometimes encompass the same patterns identified in ancient cultures. And it is this very knowledge of sacred symbols and mathematical formulas that enabled, from the construction of many historical buildings like the great pyramids of Egypt, the Greek Parthenon, the intricate temples in Latin America and the iron skyscrapers in New York, to the crystal structures and the lithium of the digital era. The En- Lighten series is inspired in this system of universal design in which the creative energy is organized through natural geometrical patterns. This is a series of works, dynamic and 3D, that create a dialogue with the viewer’s vision. They come from the illusion that our very vision exists as a consequence of light. The pieces set out to alter the notions of light and volume in the perceptive experience. In this way, what is sensed is a group of floating objects that generate an infinite space of colors. As configurations or mandalas with rhythms and variations, they provoke in the beholder an inner dialogue.|20 W x 20 H x 2.5 D in|6011675-HSC00002-7.jpg|Square Universe (iii) Sculpture|2170|3
|Dmytro Shavala|4|Ukraine|Blue rhythm. was inspired by a simplicity of geometric shapes and their Looking at this artwork from different angles is very interesting  Made in natural wood. Which is light weighted to hang it on the wall easily. Covered by a strong acrylic protection layer to make it durable and easy to clean.|63 W x 31.5 H x 2.4 D in|5953251-CRROAFOQ-7.jpg|Blue rhythm Sculpture|4040|1
|Olga Skorokhod|4|United States|The main tool for creating my sculptures is a surgical blade. I give depth to my work by using double-sided sticky foam between the layers. The distinguishing feature is the paper edge cut at an angle, as this creates smoother transitions from light to shadow. The paper sculpture techniques give the artwork a greater illusion of 3D. I used airbrush for the color.  All my sculptures are created by inspiration of nature’s fascinating beauty.|12 W x 12 H x 0.8 D in|3706675-CQKLJVEE-7.jpg|Moon Aura #05 Sculpture|880|2
|Bart Soutendijk|4|United States|This is a 31X 18-inch welded wire wall sculpture of reclining nude. It is made of 3 mm thick (#12 gauge) low carbon steel wire.   I bend the wire by hand and weld it in numerous spots to assure stability, then powder coat it gloss black** with an extremely durable, weather resistant material that makes it suitable for outdoor installation and wet locations indoors.  The sculpture is easily installed on a wall according to instructions I provide.  It is designed to hang approximately 2 inches from the wall surface so that it projects a moving shadow. The piece is signed with a thinner wire.  I make wire wall sculptures for public, commercial, and residential locations. The wire pieces are the final step in a simplification process that starts with a photograph or group of photographs. I make and remake a digital line drawing to emphasize only the essence and feel of the subject, then, like the poet who reviews every word, I re-examine every turn and curve as I bend the wire into a sculpture. The final installation, a solid line in space in front of a moving shadow, has scale enough to suit a large wall without dominating the room. My work has been purchased by collectors from all over the world.   **Other colors are available for a set-up charge of $100. Email me for details.|31 W x 8 H x 2 D in|9248281-AGVSZHQF-7.jpg|#7012 Reclining Nude Sculpture|765|3
|Cummings Twins|4|United Kingdom|Luna is the divine embodiment of the Moon and associated with silver. Linking two ideas together, the pattener of this artwork corresponds to this metal and the cracked and disfigured surface to the terrain of the moon.   Cyan Hues bleed from the side of this hanging to give it a coolness. When viewed light falls in different way across the hexagonal formations.   The surface form has an optical effect of making the squares pop in or out according to which way the viewer looks at it.|25.5 W x 24 H x 4 D in|7534157-HSC00001-7.jpg|Hex Silver Lunar Sculpture|3400|3
|Nazar Symotiuk|4|Ukraine|The artwork is executed in the style of abstract . Looking at it from different sides can be felt the secret that lies in it.I can make this same artwork in a different size.|78.7 W x 39.4 H x 2 D in|7312944-HSC00001-7.jpg|Broken fields Sculpture|4900|5
|Thomas Gromas|4|Belgium|this wok is made with cardboard & xps cutouts. Once everything was mounted I coated the whole piece makes it stronger and more resistant  The work was painted with durable enamel paint. Det is appr. 8-10cm and 15 fold/ lower corners|58.7 W x 48 H x 3.9 D in|1914909-HSC00001-7.jpg|allow me to touch you   #cardboard series unframed tropical orange Sculpture|3350|1
|Juliet Vles|4|Switzerland|from the KRYPTA series «Krypta» (from Greek «hidden», «secret») stands for an artistic expression that shows neither the reality nor the abstraction of our conscious perception of the world, but an interior imago not immediately accessible to consciousness and analytical intelligence.  TAALRALIES The word «taaltralies» is of Dutch origin and could be translated as «bars of words» or «language bars».|43.3 W x 36.6 H x 7.9 D in|1787795-HSC00001-7.jpg|L 73  (taaltralies) Sculpture|4750|2
